,Level,PM2.5,PM10,O3,NO2,SO2,CO,City
0,Hazardous,337.4,483.6,31.8,67.4,22.2,2880.9,Delhi
1,Hazardous,286.5,2.2,NULL,NULL,NULL,NULL,Bishkek
2,Hazardous,227.4,NULL,NULL,NULL,NULL,NULL,Lahore
3,Very Unhealthy,148.2,NULL,NULL,NULL,NULL,NULL,Dhaka
4,Very Unhealthy,118.1,201.7,56.9,172,13.8,1487.5,Guangzhou
5,Very Unhealthy,100.7,105.5,2.3,28.7,89.5,24.5,Ulaanbaatar
6,Very Unhealthy,71.3,138.5,46,63.1,13.7,867.6,Hangzhou
7,Unhealthy,125.2,182.1,0.8,35,0.7,1946.5,Hanoi
8,Unhealthy,94.6,NULL,NULL,NULL,NULL,NULL,Kabul
9,Unhealthy,114,204.4,62.6,38.6,15.8,969.7,Kolkata
10,Unhealthy,102.8,162.6,34.6,82.2,16.3,961.1,Chongqing
11,Unhealthy,77.3,128.6,50.7,75.3,11.3,959.4,Shanghai
12,Unhealthy,116.7,169.1,44.3,79,8.2,1326.3,Chengdu
13,Unhealthy,97,131.1,58.6,NULL,NULL,NULL,Kathmandu
14,Unhealthy,81.7,127.1,80.4,4.4,NULL,1557.6,Bangkok
15,Unhealthy,66.4,153.1,44.3,53.8,16.2,835.3,Mumbai
16,Unhealthy,81.3,NULL,NULL,NULL,NULL,NULL,Phnom Penh
17,Unhealthy,101.9,NULL,NULL,NULL,NULL,NULL,Karachi
18,Unhealthy,39.3,43.9,9.8,49.4,49,NULL,Sarajevo
19,Unhealthy,76.5,171.6,56.3,48.6,16.2,952.8,Wuhan
20,Unhealthy,50,NULL,2,NULL,NULL,NULL,Yangon
21,Unhealthy,35.6,64.2,95.2,53.2,9.1,730.7,Kaohsiung
22,Unhealthy,57.7,41.5,16.8,46.2,6.6,915.6,Zagreb
23,Unhealthy For Sensitive Groups,54.2,74.7,76.3,13.7,3.6,NULL,Chiang Mai
24,Unhealthy For Sensitive Groups,28.3,28.5,NULL,NULL,NULL,NULL,Jakarta
25,Unhealthy For Sensitive Groups,21.1,NULL,10.4,NULL,2.5,412.3,New York City
26,Unhealthy For Sensitive Groups,25.7,45.3,6.6,NULL,NULL,NULL,Bogota
27,Unhealthy For Sensitive Groups,46.1,NULL,NULL,NULL,NULL,NULL,Dubai
28,Unhealthy For Sensitive Groups,35.7,72.5,63.4,71,7.1,661.8,Shenzhen
29,Unhealthy For Sensitive Groups,29.3,66.4,42.9,54.5,11.2,656.5,Incheon
30,Unhealthy For Sensitive Groups,48.9,91.6,26.8,202,30.3,2370.2,Tehran
31,Unhealthy For Sensitive Groups,20.8,19.5,30.4,23.8,10.1,538.4,Belgrade
32,Unhealthy For Sensitive Groups,37.4,75.4,24.3,75.3,10.2,815.8,Seoul
33,Moderate,35.2,66.2,49.5,23.2,14.3,535,Shenyang
34,Moderate,23,46.2,43.9,107,5.5,388.8,Hong Kong
35,Unhealthy For Sensitive Groups,18.8,22.6,34.8,28.5,NULL,0.8,Warsaw
36,Moderate,16.4,30.7,12.6,37.8,12.2,828.2,Mexico City
37,Moderate,32.6,44.3,NULL,81.4,NULL,NULL,Nagoya
38,Moderate,35.3,41.4,6.8,107.9,9.5,0.7,Madrid
39,Moderate,21.5,74.3,NULL,28.5,11,779.5,Nur-Sultan
40,Moderate,14.2,10.9,45.7,12.6,6.8,0.5,Sofia
41,Moderate,41.4,NULL,NULL,NULL,NULL,NULL,Riyadh
42,Moderate,20.2,24.8,3.3,60,5.7,617.6,Moscow
43,Moderate,44.1,NULL,NULL,NULL,NULL,NULL,Ho Chi Minh City
44,Moderate,13.4,16.7,14.7,34,2.7,900,London
45,Moderate,31.8,3.8,25.1,28.2,4.7,523.3,Wroclaw
46,Moderate,15.3,16.9,NULL,41.1,NULL,0,Oslo
47,Moderate,23.3,37.1,52.9,70.9,6.6,964.7,Taipei
48,Moderate,20.1,NULL,NULL,NULL,NULL,NULL,Kyiv
49,Moderate,16.4,21.7,28.8,24.4,0.5,0,Paris
50,Moderate,16.4,23.3,NULL,52.6,2.9,437.2,Tokyo
51,Moderate,24.4,36.5,NULL,78.2,NULL,NULL,Kobe
52,Moderate,28.6,39,NULL,86.2,NULL,NULL,Osaka
53,Moderate,16.7,35.4,49.1,13.1,3.3,81.2,Singapore
54,Moderate,16.4,21.7,28.8,24.4,0.5,0.3,Paris
55,Moderate,20.3,37.7,NULL,63.5,NULL,670.6,Kyoto
56,Moderate,15.1,NULL,NULL,NULL,NULL,NULL,Kuala Lumpur
57,Moderate,16.3,24.9,37.6,8.4,3.3,4.6,Johannesburg
58,Moderate,20.8,NULL,NULL,25.4,1.7,687,Detroit
59,Moderate,15,NULL,38,14.5,0,NULL,Toronto
60,Moderate,12.4,15.5,40.8,16.4,1.5,268.4,Vienna
61,Moderate,12.8,18.7,NULL,37.3,NULL,NULL,Rotterdam
62,Moderate,11,54.3,25.6,34.3,5.2,399.9,Santiago
63,Moderate,14.7,17.7,NULL,18.1,4,NULL,Krakow
64,Moderate,11.4,14.8,NULL,9.5,NULL,1.7,Lima
65,Moderate,10.4,13.9,42.9,20.4,4.1,387.2,Budapest
66,Moderate,8.1,NULL,4,33.6,NULL,NULL,San Francisco
67,Good,17.8,47.2,NULL,39.7,8.5,461.6,Busan
68,Moderate,16.9,NULL,NULL,NULL,NULL,NULL,Pristina
69,Good,9.4,13.2,10.2,32.9,1,0,Brussels
70,Good,10.9,22.2,49.9,18.1,1.6,381.7,Tel Aviv-Yafo
71,Good,7.6,NULL,NULL,NULL,NULL,NULL,Seattle
72,Good,12.5,22.2,17.6,33.8,0.5,473.1,Amsterdam
73,Good,8,12.9,42.2,18.1,4,NULL,Bratislava
74,Good,9.2,32.5,5,15.7,3.3,NULL,Los Angeles
75,Good,7,11.5,32.6,33.7,1.1,NULL,Helsinki
76,Good,9.2,12.1,32.2,14.6,NULL,0.3,Berlin
77,Good,20.3,NULL,19.7,49.3,4,0.9,Milano
78,Good,34.3,138.8,62.5,9.6,2.3,297.5,Beijing
79,Good,6.6,NULL,NULL,47.2,61.3,39.4,Krasnoyarsk
80,Good,8.4,103.3,2,19.9,NULL,NULL,Jerusalem
81,Good,5,5.9,5,NULL,NULL,NULL,Bern
82,Good,6.5,NULL,NULL,NULL,NULL,NULL,Kuching
83,Good,7.8,12.1,25.7,20.8,2.5,338.6,Prague
84,Good,9.8,19.7,24.5,18.3,2,299.5,Sao Paulo
85,Good,7.4,8.8,21.7,31.9,NULL,0,Munich
86,Good,1.8,18.4,53.6,1.9,NULL,3.3,Canberra
87,Good,3.2,17.9,39.6,47.3,0,215.5,Denver
88,Good,10.4,18.8,71.7,5.5,1.1,63.4,Sydney
89,Good,2,3.5,37.7,22.8,NULL,NULL,Lyon
90,Good,10.3,12.7,34.8,15.5,1.8,NULL,Skopje
91,Good,6.2,NULL,2.4,2.6,0.7,17.1,Portland
92,Good,3.2,4.2,30,24.7,1,251.2,Vancouver BC
93,Good,1.3,NULL,17.1,66.7,0,57.3,Salt Lake City
94,Good,1.9,19.9,12.3,3.6,4.1,0,Melbourne
