,City,Level,PM2.5,PM10,O3,NO2,SO2,CO
0,"Ube, Yamaguchi",Moderate,30.0,8.0,,9.4,7.9,
1,"Hiraidemachi, Tochigi",Moderate,23.0,8.0,,39.5,,
2,"Minato, Wakayama",Moderate,20.0,24.0,,,23.6,
3,"Mizusawaku Higashiodori, Iwate",Moderate,19.0,4.0,,26.3,2.6,
4,"Futago, Kanagawa",Moderate,15.0,11.0,,73.3,,
5,"Tamana, Kumamoto",Moderate,18.0,8.0,,7.5,,
6,"Hanazakicho, Chiba",Moderate,17.0,,,,,
7,"Yumeimachi, Fukuoka",Moderate,16.0,7.0,,9.4,2.6,229.0
8,"Higashikoshigaya, Saitama",Moderate,15.0,15.0,,45.1,2.6,
9,"Honmokucho, Kanagawa",Good,7.0,7.0,,41.4,5.2,
10,"Shihezi, Xinjiang",Very Unhealthy,235.0,264.0,6.0,85.5,12.5,2300.0
11,"Ili, Xinjiang",Very Unhealthy,177.0,182.0,39.0,52.0,36.0,2600.0
12,"Changji, Xinjiang",Very Unhealthy,152.0,183.0,,84.0,5.0,
13,"Turpan, Xinjiang",Unhealthy,145.5,192.5,28.5,62.0,29.0,2100.0
14,"Fushun, Liaoning",Unhealthy,103.0,142.0,10.0,42.0,20.0,1500.0
15,"Jinzhou, Liaoning",Unhealthy,94.0,85.0,20.0,54.0,65.0,2100.0
16,"Yuxia, Shaanxi",Unhealthy,84.0,82.0,17.0,37.0,12.0,1241.5
17,"Linxia Chengguanzhen, Gansu",Unhealthy,83.0,99.0,,13.0,,
18,"Urumqi, Xinjiang",Unhealthy,83.0,94.0,14.0,100.0,6.0,2200.0
19,"Karamay, Xinjiang",Unhealthy,81.0,86.0,40.5,29.0,3.5,1100.0
20,"Regina, Saskatchewan",Unhealthy For Sensitive Groups,42.1,,8.0,58.3,,
21,"Winnipeg, Manitoba",Moderate,35.3,,5.4,13.5,,
22,"Brandon, Manitoba",Moderate,34.9,,,17.7,,
23,"St. Albert, Alberta",Moderate,35.2,,2.0,82.7,2.6,
24,"Houston, British Columbia",Moderate,32.9,3.8,,,,
25,"Edmonton, Alberta",Moderate,32.4,,2.0,77.1,2.6,
26,"Rideau Park, Alberta",Moderate,30.0,,2.0,67.7,2.6,
27,"Dawson City, Yukon",Moderate,30.0,,,,,
28,"Prince Albert, Saskatchewan",Moderate,28.9,,36.0,,,
29,"Stettler, Alberta",Moderate,27.7,,,,,
30,"Ha Tinh, Tinh Ha Tinh",Unhealthy For Sensitive Groups,46.9,,,,,
31,"Pho Moi, Tinh Bac Ninh",Moderate,33.6,55.6,15.4,28.9,101.9,0.0
32,"Hanoi, Hanoi",Moderate,33.2,53.2,0.6,26.0,2.1,993.6
33,"Cau Dien, Hanoi",Moderate,29.7,54.5,0.0,39.1,1.6,299.9
34,"Ho Chi Minh City, Ho Chi Minh City",Moderate,28.7,,,,,
35,"Long Xuyen, An Giang",Moderate,27.8,,,,,
36,"Phuc Yen, Tinh Vinh Phuc",Moderate,25.7,51.3,,,,
37,"Nhu Quynh, Tinh Hung Yen",Moderate,23.8,51.3,0.0,15.4,7.0,0.9
38,"Thanh Pho Thai Nguyen, Tinh Thai Nguyen",Moderate,24.2,32.0,,,1.1,0.9
39,"Hoan Kiem, Hanoi",Moderate,22.5,22.7,33.1,21.1,14.7,0.0
40,"Tadley, England",Unhealthy For Sensitive Groups,51.7,,,,,
41,"Highland, Scotland",Unhealthy For Sensitive Groups,43.6,,,,,
42,"Cowley, England",Unhealthy For Sensitive Groups,42.9,,,,,
43,"Girton, England",Unhealthy For Sensitive Groups,41.5,15.8,,33.3,,
44,"Stockton, England",Unhealthy For Sensitive Groups,41.8,,,,,
45,"Cambridge, England",Unhealthy For Sensitive Groups,40.3,21.7,,33.2,,
46,"Colchester, England",Unhealthy For Sensitive Groups,40.0,,,,,
47,"Brentford, England",Unhealthy For Sensitive Groups,37.0,43.0,,63.7,,
48,"Crondall, England",Unhealthy For Sensitive Groups,37.1,,,,,
49,"Teddington, England",Moderate,30.9,36.6,,,,
50,"Quimper, Brittany",Unhealthy For Sensitive Groups,51.0,53.3,,,,
51,"Dax, Nouvelle-Aquitaine",Moderate,34.0,37.0,28.0,18.0,,
52,"Biars-sur-Cere, Occitanie",Moderate,33.0,46.3,32.0,21.9,,
53,"Albi, Occitanie",Moderate,25.0,38.5,,24.3,,
54,"Tours, Centre",Moderate,26.3,24.1,,42.2,,
55,"Toulouse, Occitanie",Moderate,28.3,38.1,22.6,29.2,,
56,"Saint-Jean-de-Braye, Centre",Moderate,24.9,,,31.0,,
57,"La Lechere, Auvergne-Rhone-Alpes",Moderate,27.0,35.3,,,,
58,"Laval, Pays de la Loire",Moderate,24.0,30.0,13.0,21.0,,
59,"Nantes, Pays de la Loire",Moderate,25.0,30.0,38.0,47.0,1.0,
60,"Northeim, Lower Saxony",Moderate,27.6,,,,,
61,"Hamburg, Hamburg",Moderate,25.9,,18.0,21.0,3.0,330.0
62,"Eppelheim, Baden-Wuerttemberg",Moderate,22.6,,,,,
63,"Bernau bei Berlin, Brandenburg",Moderate,22.0,29.0,,24.8,,
64,"Meppen, Lower Saxony",Moderate,21.2,,,,,
65,"Dresden, Saxony",Good,5.0,11.0,13.0,41.0,0.0,
66,"Schongau, Bavaria",Moderate,19.6,,,,,
67,"Konstanz, Baden-Wuerttemberg",Moderate,19.0,21.0,4.0,,,
68,"Heppenheim (Bergstrasse), Hessen",Moderate,17.5,17.1,,,,
69,"Friedrichshafen, Baden-Wuerttemberg",Moderate,17.0,19.0,30.0,,,
70,"Saraburi, Sara Buri",Unhealthy,84.0,69.0,52.0,65.8,,
71,"Tha Muang, Kanchanaburi",Unhealthy,72.1,,,,,
72,"Doi Saket, Chiang Mai",Unhealthy For Sensitive Groups,53.3,,,,,
73,"Ratchaburi, Ratchaburi",Moderate,30.0,70.0,40.0,,,
74,"Hang Dong, Chiang Mai",Moderate,23.7,,,,,
75,"Lampang, Lampang",Unhealthy For Sensitive Groups,44.5,19.0,84.0,,2.6,
76,"San Sai, Chiang Mai",Unhealthy For Sensitive Groups,39.9,,,,,
77,"Hua Hin, Prachuap Khiri Khan",Unhealthy For Sensitive Groups,39.7,,,,,
78,"Pai, Mae Hong Son",Unhealthy For Sensitive Groups,39.6,,,,,
79,"Ban Sang, Prachin Buri",Unhealthy For Sensitive Groups,38.6,,,,,
80,"Kloten / Balsberg, Zurich",Unhealthy For Sensitive Groups,41.0,14.9,19.6,32.1,,
81,"Bodio, Ticino",Unhealthy For Sensitive Groups,37.0,73.0,3.0,63.0,16.0,
82,"Lumino, Ticino",Moderate,31.0,39.5,,34.1,,
83,"Ecublens, Vaud",Moderate,30.9,,,,,
84,"Visp, Valais",Moderate,25.0,31.0,24.0,39.0,,
85,"Dubendorf, Zurich",Moderate,22.6,16.0,36.0,29.0,,
86,"Unteriberg, Schwyz",Moderate,22.6,,,,,
87,"Rhaezuens, Grisons",Moderate,20.0,23.5,25.4,,,
88,"Lausanne, Vaud",Moderate,19.6,,,,,
89,"Dietikon, Zurich",Moderate,18.7,,,,,
90,"Meligalas, Peloponnese",Unhealthy,74.5,,,,,
91,"Messini, Peloponnese",Unhealthy For Sensitive Groups,41.9,,,,,
92,"Ovria, West Greece",Unhealthy For Sensitive Groups,41.6,,,,,
93,"Ano Liosia, Attica",Moderate,31.2,,,,,
94,"Metamorfosi, Attica",Moderate,30.2,,,,,
95,"Athens, Attica",Moderate,29.2,,,,,
96,"Dhafni, Attica",Moderate,29.4,,,,,
97,"Melissia, Attica",Moderate,29.3,,,,,
98,"Vrilissia, Attica",Moderate,29.5,,,,,
99,"Nikaia, Attica",Moderate,28.8,,,,,
100,"Sao Bernardo do Campo, Sao Paulo",Moderate,23.0,,63.0,,,
101,"Sao Jose do Rio Preto, Sao Paulo",Good,12.0,9.0,67.0,3.0,,
102,"Cubatao, Sao Paulo",Good,,45.0,,38.0,6.0,
103,"Guarulhos, Sao Paulo",Good,10.0,19.5,41.0,14.0,1.0,572.5
104,"Santa Gertrudes, Sao Paulo",Good,10.0,20.0,,,,
105,"Sao Paulo, Sao Paulo",Good,10.0,17.0,56.0,14.0,2.0,286.3
106,"Piracicaba, Sao Paulo",Good,9.0,12.0,2.0,6.0,,
107,"Santos, Sao Paulo",Good,9.0,15.0,81.0,7.0,1.0,
108,"Sao Jose dos Campos, Sao Paulo",Good,7.0,39.0,52.0,5.0,1.0,229.0
109,"Campinas, Sao Paulo",Good,8.0,30.0,6.0,5.0,,
110,"Berezovka, Krasnoyarsk Krai",Hazardous,770.0,,,470.0,20.0,480.0
111,"Solnechnyy, Krasnoyarsk Krai",Hazardous,435.0,,,320.0,50.0,280.0
112,"Krasnoyarsk, Krasnoyarsk Krai",Unhealthy,83.3,,,310.0,35.0,370.0
113,"Serpukhov, Moscow Oblast",Moderate,26.7,,,,,
114,"Balashikha, Moscow Oblast",Moderate,24.0,,,,,
115,"Zyryanka, Chukot",Moderate,15.0,,,,,
116,"Gelendzhik, Krasnodarskiy",Moderate,13.0,,,,,
117,"Moscow, Moscow",Moderate,12.5,14.0,5.4,34.0,2.5,310.0
118,"Tol'yatti, Samara",Good,10.0,,,,,
119,"Kamensk-Shakhtinskiy, Rostov",Good,9.7,,,,,
120,"Davao City, Davao",Moderate,31.0,62.5,,17.2,,
121,"Tagum City, Davao",Moderate,20.9,,,,,
122,"Bulacan, Central Luzon",Good,9.7,,,,,
123,"Pasig, National Capital Region",Good,9.2,,,,,
124,"Paranaque, National Capital Region",Good,8.9,,,,,
125,"Puerto Princesa, Mimaropa",Moderate,13.0,19.0,,,,
126,"Balanga, Central Luzon",Good,6.8,,,,,
127,"Makati, National Capital Region",Good,5.9,,,,,
128,"Pasig City, National Capital Region",Good,5.0,,,,,
129,"Marikina, National Capital Region",Good,4.5,,,,,
130,"Yangon, Yangon",Unhealthy For Sensitive Groups,41.8,,4.0,,,
131,"Syriam, Yangon",Moderate,34.3,,,,,
132,"Mandalay, Mandalay",Moderate,31.4,,,,,
133,"Vientiane, Vientiane",Moderate,13.0,,,,,
134,"Rice Lake, Wisconsin",Unhealthy,104.9,,,,,
135,"Portola, California",Unhealthy,61.0,,,,,
136,"La Mirada, California",Unhealthy For Sensitive Groups,55.2,,,,,
137,"Jemez Pueblo, New Mexico",Unhealthy For Sensitive Groups,54.1,,,,,
138,"North Pole, Alaska",Unhealthy For Sensitive Groups,51.9,,,,,
139,"Nogales, Arizona",Unhealthy For Sensitive Groups,47.9,158.7,,,,
140,"South Valley, New Mexico",Unhealthy For Sensitive Groups,46.1,,,,,
141,"Baldwin Park, California",Unhealthy For Sensitive Groups,45.1,,,,,
142,"Del Aire, California",Unhealthy For Sensitive Groups,44.1,,,,,
143,"Stanislaus, California",Unhealthy For Sensitive Groups,43.9,,,,,
144,"Plovdiv, Plovdiv",Unhealthy,69.0,70.1,8.8,,7.9,0.7
145,"Vidin, Vidin",Moderate,35.0,44.8,,,,
146,"Varna, Varna",Moderate,22.5,24.9,21.2,39.9,5.0,0.0
147,"Sliven, Sliven",Moderate,20.0,30.4,,,,
148,"Burgas, Burgas",Moderate,19.9,23.5,41.3,,13.9,0.0
149,"Sofia, Sofia",Moderate,18.3,21.5,17.5,44.9,12.0,1.0
150,"Lovech, Lovech",Moderate,18.0,23.3,,,,
151,"Oriyakovica, Veliko Tarnovo",Moderate,16.0,19.9,17.0,,5.3,
152,"Smolyan, Smolyan",Moderate,15.0,21.8,,,,
153,"Nesebar, Burgas",Moderate,14.0,28.6,,16.1,2.7,
154,"Petaling Jaya, Selangor",Unhealthy For Sensitive Groups,54.8,,,,,
155,"Klang, Selangor",Unhealthy For Sensitive Groups,43.2,,,,,
156,"Shah Alam, Selangor",Moderate,19.9,,,,,
157,"Balok, Pahang",Moderate,15.0,29.7,,,,
158,"Kuala Selangor, Selangor",Moderate,14.7,,,,,
159,"Kuala Langat, Selangor",Moderate,14.1,,,,,
160,"Balik Pulau, Penang",Moderate,13.4,,,,,
161,"Pekan, Pahang",Good,11.3,,,,,
162,"Putrajaya, Putrajaya",Good,11.0,,,,,
163,"Kota Bharu, Kelantan",Good,10.6,,,,,
164,"San Juan de Lurigancho, Lima",Moderate,28.3,,24.8,,10.5,1.0
165,"Trujillo, La Libertad",Moderate,21.6,,,,,
166,"Lima, Lima",Good,11.6,19.7,,,,
167,"Cusco, Cusco",Good,8.7,,,,,
168,"HUACHIPA, Lima",Good,,,,,51.5,253.0
169,"El Tambo, Junin",Good,5.4,,,,,
170,"Chupaca, Junin",Good,4.0,,,,,
171,"Puerto Maldonado, Madre de Dios",Good,2.3,,,,,
172,"Santa Anita, Lima",Good,,,,50.4,15.4,
173,"Villa Maria del Triunfo, Lima",Good,,,,,12.9,1.0
174,"Valjevo, Central Serbia",Unhealthy,91.9,92.6,,59.8,7.7,
175,"Cacak, Central Serbia",Unhealthy,74.7,,,14.3,,
176,"Uzice, Central Serbia",Unhealthy,63.1,63.2,,2.7,10.0,
177,"Novi Pazar, Central serb",Unhealthy,55.7,56.6,27.5,46.8,23.2,
178,"Nis, Central Serbia",Unhealthy For Sensitive Groups,48.1,16.3,37.9,34.8,9.7,
179,"Pancevo, Central Serbia",Moderate,30.0,35.2,40.3,34.3,8.0,1170.0
180,"Gornji Milanovac, Central serb",Moderate,29.5,,,,,
181,"Kragujevac, Central Serbia",Moderate,27.2,,,61.8,,
182,"Pancevo, Autonomna Pokrajina Vojvodina",Moderate,21.6,21.9,38.8,15.0,12.9,
183,"Belgrade, Central Serbia",Moderate,20.0,16.5,29.0,32.2,9.2,530.0
184,"Moldava nad Bodvou, Kosice",Unhealthy For Sensitive Groups,46.0,59.4,,,,
185,"Nad Jazerom, Kosice",Unhealthy For Sensitive Groups,43.0,60.0,,,,
186,"Martin, Zilina",Unhealthy For Sensitive Groups,41.0,54.0,,,,
187,"Ruzomberok, Zilina",Unhealthy For Sensitive Groups,41.0,52.0,,,5.0,
188,"Kosice, Kosice",Unhealthy For Sensitive Groups,40.5,53.0,2.0,,5.0,787.5
189,"Handlova, Trencin",Unhealthy For Sensitive Groups,37.0,31.0,,,,
190,"Prievidza, Trencin",Unhealthy For Sensitive Groups,37.0,26.0,4.0,,,
191,"Banska Bystrica, Banska Bystrica",Unhealthy For Sensitive Groups,36.5,30.5,,34.5,,
192,"Krompachy, Kosice",Moderate,28.0,30.0,,,,
193,"Strazske, Kosice",Moderate,27.0,37.0,,,,
194,"Sants, Catalunya",Unhealthy For Sensitive Groups,41.7,,,,,
195,"Puebla de Alfinden, Aragon",Unhealthy For Sensitive Groups,39.5,,,,,
196,"Ponferrada, Castille and Leon",Unhealthy For Sensitive Groups,39.0,56.0,21.0,34.0,17.0,
197,"Leganés, Madrid",Moderate,34.0,36.0,16.0,54.0,,
198,"Carracedelo, Castille and Leon",Moderate,28.0,46.0,27.0,18.0,4.0,
199,"Sondika, Basque Country",Moderate,28.0,42.0,,28.0,,
200,"Chert/Xert, Valencia",Moderate,24.3,,,,,
201,"Puertollano, Castilla-La Mancha",Moderate,23.0,15.0,34.0,14.0,5.0,
202,"Beasain, Basque Country",Moderate,22.0,,,,2.0,0.0
203,"Ciutat Meridiana, Catalunya",Moderate,22.0,32.0,,,,
204,"Arwad, Tartus",Moderate,28.7,46.3,,18.4,7.9,
205,"Fiq, Quneitra",Moderate,28.8,,,,,
206,"Sreepur, Dhaka",Hazardous,256.9,,,,,
207,"Manikganj, Dhaka",Very Unhealthy,200.7,,,,,
208,"Dhaka, Dhaka",Very Unhealthy,177.5,,,,,
209,"Savar, Dhaka",Unhealthy,120.5,,,,,
210,"Narayanganj, Dhaka",Good,7.0,,,,,
211,"Rawalpindi, Punjab",Very Unhealthy,168.4,,,,,
212,"Lahore, Punjab",Unhealthy,126.0,,,,,
213,"Muridke, Punjab",Unhealthy,107.3,,,,,
214,"Islamabad, Islamabad",Unhealthy,100.0,,,,,
215,"Karachi, Sindh",Unhealthy,100.0,,,,,
216,"Raiwind, Punjab",Unhealthy,91.4,,,,,
217,"Ulaanbaatar, Ulaanbaatar",Unhealthy,76.3,158.0,3.0,24.0,215.0,18.0
218,"Hongor, Suhbaatar",Moderate,32.0,59.0,,9.0,14.0,
219,"Tsetserleg, Arhangay",Moderate,31.0,,,,,
220,"Ulaan-Uul, East Gobi Aymag",Moderate,32.0,138.0,,36.0,19.0,
221,"Urt, OEmnoegovi",Unhealthy For Sensitive Groups,32.0,214.0,,7.0,5.0,
222,"Sumber, East Aimak",Good,8.0,15.5,,5.0,6.0,
223,"Chonogol, Suhbaatar",Good,4.0,14.0,,17.0,38.0,
224,"Ulan Bator, Ulaanbaatar",,,,,,,
225,"Kabul, Kabul",Unhealthy For Sensitive Groups,51.5,,,,,
226,"Bahadurgarh, Haryana",Very Unhealthy,213.5,238.0,1.0,0.8,9.6,
227,"Delhi, Delhi",Hazardous,277.0,352.5,9.3,35.7,33.8,2550.0
228,"Sector, Uttar Pradesh",Hazardous,283.0,409.3,36.0,29.6,1.6,2420.0
229,"Dadri, Uttar Pradesh",Hazardous,254.0,447.8,1.0,125.0,1.6,
230,"Dharuhera, Haryana",Hazardous,209.6,445.4,3.0,86.0,2.4,2260.0
231,"Guwahati, Assam",Very Unhealthy,200.5,,,,,
232,"Shahdara, Delhi",Hazardous,268.7,338.0,30.3,169.6,,2301.5
233,"Muzaffarpur, Bihar",Hazardous,266.0,,12.0,2.4,7.2,
234,"Patna, Bihar",Very Unhealthy,242.2,,57.1,101.0,20.8,2580.0
235,"Bulandshahr, Uttar Pradesh",Hazardous,257.0,371.0,6.0,,16.8,
236,"Bandung, West Java",Unhealthy,75.9,,,,,
237,"Jakarta, Jakarta",Unhealthy For Sensitive Groups,38.6,,,,,
238,"Pekanbaru, Riau",Moderate,30.3,,,,,
239,"Duri, Riau",Moderate,28.6,,,,,
240,"Sedinginan, Riau",Moderate,25.4,,,,,
241,"Semarang, Central Java",Moderate,23.8,,,,,
242,"Balaipungut, Riau",Moderate,21.5,,,,,
243,"Dumai, Riau",Moderate,21.5,,,,,
244,"Medan, North Sumatra",Moderate,20.3,,,,,
245,"Semarapura, Bali",Moderate,17.2,,,,,
246,"Manama, Capital Governorate",Unhealthy,81.0,,,,,
247,"Siddharthanagar, Western Region",Unhealthy,116.3,,,,,
248,"Nepalgunj, Mid Western",Unhealthy,104.5,69.5,,,,
249,"Bhaktapur, Central Region",Unhealthy,102.4,,,,,
250,"Kathmandu, Central Region",Unhealthy,97.4,125.4,21.0,,,
251,"Kirtipur, Central Region",Unhealthy,94.4,59.1,,,,
252,"Tulsipur, Mid Western",Unhealthy,64.2,,,,,
253,"Patan, Central Region",Unhealthy,62.2,63.7,,,,
254,"Dhulikhel, Central Region",Unhealthy,56.7,57.2,,,,
255,"Pokhara, Western Region",Unhealthy For Sensitive Groups,53.7,,,,,
256,"Dhankuta, Eastern Region",Moderate,34.7,34.7,,,,
257,"Tashkent, Toshkent Shahri",Good,53.0,,4.0,,,
258,"Baghdad, Baghdad",Moderate,25.0,,,,,
259,"Nassau, New Providence",Good,6.6,,,,,
260,"Governor's Harbour, Central Eleuthera",Good,3.0,,,,,
261,"Charlotte Amalie, Saint Thomas Island",Good,2.8,,,,,
262,"Cruz Bay, Saint John Island",Good,0.6,,,,,
263,"Hafnarfjoerdur, Capital Region",Good,8.1,15.0,,3.6,3.6,
264,"Reykjavik, Capital Region",Good,7.0,11.0,,3.3,6.9,
265,"Kopavogur, Capital Region",Good,6.0,9.9,,0.0,0.0,
266,"Grundartangi, West",Good,3.5,5.5,,0.0,0.0,
267,"Akureyri, Northeast",Good,2.0,1.0,,28.6,,
268,"Isafjoerdur, Westfjords",Good,0.0,,,,,
269,"Reydarfjoerdur, East",,,,,,,
270,"Siuntio, Uusimaa",Moderate,14.7,,,,,
271,"Lansi-Turunmaa, Finland Proper",Moderate,13.4,21.4,,5.0,1.6,
272,"Lohja, Uusimaa",Moderate,12.8,,,,,
273,"Pertteli, Finland Proper",Good,11.7,,,,,
274,"Espoo, Uusimaa",Good,10.3,7.9,,5.0,0.0,
275,"Helsinki, Uusimaa",Good,8.4,7.5,40.2,0.0,0.0,
276,"Nurmijaervi, Uusimaa",Good,8.5,,,,,
277,"Vantaa, Uusimaa",Good,8.1,6.2,,8.2,,
278,"Hameenlinna, Tavastia Proper",Good,7.0,6.1,,1.8,,
279,"Seinajoki, Southern Ostrobothnia",Good,7.0,5.1,,7.0,,
280,"Sillamaee, Ida-Virumaa",Moderate,16.0,17.0,,,,
281,"Sinimaee, Ida-Virumaa",Moderate,12.5,16.1,,,0.9,
282,"Tartu, Tartumaa",Good,11.2,13.8,,12.6,0.0,300.0
283,"Voore, Jogevamaa",Good,10.1,,,5.9,0.0,
284,"Narva, Ida-Virumaa",Good,8.7,12.1,,9.2,0.0,
285,"Kohtla-Jaerve, Ida-Virumaa",Good,8.4,7.8,,10.5,3.2,
286,"Tallinn, Harjumaa",Good,8.0,16.8,22.0,14.7,0.0,280.0
287,"Parnu Jogi, Paernumaa",Good,,,,10.4,0.0,
288,"Solna, Stockholm",Moderate,14.7,,,,,
289,"Lilla Essingen, Stockholm",Moderate,13.6,,,,,
290,"Enkoeping, Uppsala län",Good,9.3,,,,,
291,"Norr Malma, Stockholm",Good,9.2,9.2,,7.2,,
292,"Haggvik, Stockholm",Good,8.6,12.3,,,,
293,"Sollentuna, Stockholm",Good,8.8,12.0,,,,
294,"Sodertalje, Stockholm",Good,8.0,9.1,,48.4,,
295,"Stockholm, Stockholm",Good,8.0,9.9,,11.3,,
296,"Kungsholmen, Stockholm",Good,7.9,10.7,,10.0,,
297,"Lund, Skåne län",Good,7.0,8.2,34.9,4.9,,
298,"Narvik, Nordland",Moderate,13.3,20.4,,,,
